id,type,name,desc,rewards_json
0,treasure,发现灵草,"闭关时偶然发现一株百年灵草，服用后气血大增。","{""hp"":30,""mana"":10}"
1,battle,击败妖兽,"出关途中遇到妖兽，经过一番激战，成功将其击败。","{""attack"":5,""defense"":3,""exp"":50}"
2,enlightenment,顿悟天机,"观看日出时突然顿悟，对修炼有了新的理解。","{""spirit"":15,""comprehension"":10}"
3,resource,获得灵石,"在山洞中发现了前人留下的灵石宝藏。","{""spiritualStone"":100}"
4,mentor,高人指点,"遇到一位隐世高人，得到了珍贵的修炼指导。","{""comprehension"":20,""luck"":5}"
5,treasure,灵泉滋养,"偶遇灵泉，饮一口灵泉，体内真元流转更加顺畅。","{""hp"":20,""mana"":20}"
6,battle,击败山贼,"出关途中遭遇山贼，成功击退并搜获财物。","{""attack"":3,""defense"":2,""spiritualStone"":50}"
7,enlightenment,顿悟剑意,"观看夜空星辰，顿悟剑法真谛。","{""spirit"":20,""comprehension"":15}"
8,resource,获得仙草,"在灵谷中发现一株仙草，可大幅提升修炼效率。","{""hp"":50,""mana"":30}"
9,mentor,隐士指点,"遇到隐士，传授心法精要，对悟性大有帮助。","{""comprehension"":25,""luck"":5}"
10,treasure,古老宝箱,"探索古遗迹，发现古老宝箱，内含灵石与法器残卷。","{""spiritualStone"":150,""comprehension"":10}"
11,battle,击退妖兽群,"山林中遇到妖兽群，经过激战成功击退。","{""attack"":10,""defense"":5,""exp"":100}"
12,enlightenment,夜观星辰,"夜晚仰望星空，顿悟天地法则。","{""spirit"":25,""comprehension"":20}"
13,resource,采集灵药,"在深山中采集到珍贵灵药，炼化后提升真元。","{""mana"":40,""hp"":20}"
14,mentor,高人指点,"偶遇高人，讲解炼丹秘诀，悟性大增。","{""comprehension"":30,""luck"":5}"
15,treasure,神秘符箓,"在古坛发现神秘符箓，运用后心法大增。","{""comprehension"":15,""spirit"":10}"
16,battle,闯入妖洞,"深入妖洞，成功击杀首领妖物。","{""attack"":8,""defense"":5,""exp"":80}"
17,enlightenment,顿悟雷法,"雷霆交加，顿悟雷系法术。","{""spirit"":20,""comprehension"":15}"
18,resource,采集灵石,"山中采集灵石，炼化后可增加灵石储量。","{""spiritualStone"":100}"
19,mentor,名师指点,"遇到修仙名师，指点修炼之法。","{""comprehension"":25,""luck"":5}"
20,treasure,古籍残卷,"在废弃书院中找到古籍残卷，增加修炼理解。","{""comprehension"":20}"
21,battle,击退毒蛇,"修炼途中遇毒蛇，成功击退并吸取其毒素炼丹。","{""attack"":5,""defense"":2,""hp"":15}"
22,enlightenment,顿悟符法,"灵光一闪，领悟符箓奥义。","{""spirit"":15,""comprehension"":10}"
23,resource,获得灵丹,"得到灵丹一颗，服用后真元充盈。","{""hp"":30,""mana"":30}"
24,mentor,仙人指点,"遇到仙人，传授炼丹心法，悟性上升。","{""comprehension"":20,""luck"":5}"
25,treasure,秘境宝藏,"进入秘境，获得宝箱内灵石与法器。","{""spiritualStone"":200,""attack"":5}"
26,battle,击退妖兽精,"遭遇妖兽精，激战后获得经验与战利品。","{""attack"":10,""defense"":5,""exp"":120}"
27,enlightenment,顿悟心法,"冥想中顿悟心法奥义，修为有所提升。","{""spirit"":20,""comprehension"":15}"
28,resource,采集灵果,"山林采集灵果，提升气血与真元。","{""hp"":40,""mana"":25}"
29,mentor,高人点拨,"高人点拨，悟性上升，心境清明。","{""comprehension"":25,""luck"":5}"
30,treasure,天材地宝,"获得稀有天材地宝，修炼效果大增。","{""hp"":50,""mana"":50,""spiritualStone"":100}"
