id,name,desc,breakthrough
0,炼气,"凡胎肉体，初窥仙途。纳天地灵气入体，洗涤凡骨，脱胎换骨始于此境。","灵气汇聚丹田，真元初生，踏入修仙门槛！"
1,筑基,"筑道基，固根本。真元凝实如液，可御器飞行，寿增百载。","天地共鸣，道基成型，真正踏入修仙正途！"
2,金丹,"凝聚金丹，点石成金。一粒金丹吞入腹，我命由我不由天。","丹田金光大盛，金丹凝成，脱离凡俗之境！"
3,元婴,"元神化婴，神魂不灭。纵然肉身毁灭，元婴亦可夺舍重生。","元神蜕变，婴形初现，神识暴增百倍！"
4,化神,"神通广大，移山填海。一念之间，千里之外取人首级。","神识化虚为实，领悟天地法则，神通初显！"
5,炼虚,"炼化虚空，掌控空间。举手投足间，虚空破碎，万物湮灭。","虚空在握，空间之力尽在掌控！"
6,合体,"天人合一，道法自然。与天地同寿，日月同辉。","天地认可，道心圆满，与天地法则融为一体！"
7,大乘,"道法大成，无所不能。一念生死，众生如蝼蚁。","道法圆满，超脱生死，世间再无敌手！"
8,渡劫,"天劫降临，九死一生。渡过此劫，便可飞升仙界。","九九天劫，劫雷洗礼，凤凰涅槃，仙路在望！"
9,真仙,"飞升仙界，位列仙班。不老不死，与天地同存。","白日飞升，列位仙班，从此长生不死！"
10,太乙,"太乙金仙，法则化身。掌控一方天地，众仙朝拜。","太乙道果成就，超脱五行，执掌天地法则！"
11,大罗,"大罗金仙，超脱时空。过去现在未来，无所不在，无所不能。","大罗道果圆满，超脱一切，与道同存！"
